date,amount
2021-06-15,11872.0
2021-06-16,11872.0
2021-06-17,12108.0
2021-06-18,12108.0
2021-06-20,12108.0
2021-06-21,12108.0
2021-06-22,12108.0
2021-06-23,12108.0
2021-06-24,12108.0
2021-06-25,12108.0
2021-06-27,12108.0
2021-06-28,12108.0
2021-06-29,12108.0
2021-06-30,12108.0
2021-07-01,12108.0
2021-07-02,12108.0
2021-07-04,12108.0
2021-07-08,12108.0
2021-07-09,12108.0
2021-07-11,12108.0
2021-07-12,12108.0
2021-07-13,12108.0
2021-07-14,12108.0
2021-07-15,12345.0
2021-07-16,12345.0
2021-07-17,12345.0
2021-07-19,12345.0
2021-07-20,12345.0
2021-07-21,12495.0
2021-07-22,12495.0
2021-07-23,12495.0
2021-07-24,12495.0
2021-07-25,12495.0
2021-07-26,12495.0
2021-07-27,12495.0
2021-07-28,12495.0
2021-07-29,12495.0
2021-07-30,12495.0
2021-08-04,12495.0
2021-08-05,12495.0
2021-08-06,12495.0
2021-08-08,12495.0
2021-08-09,12495.0
2021-08-10,12495.0
2021-08-11,12495.0
2021-08-12,12495.0
2021-08-13,12495.0
2021-08-14,12495.0
2021-08-16,12495.0
2021-08-17,12495.0
2021-08-19,12595.0
2021-08-20,12595.0
2021-08-21,12595.0
2021-08-22,12595.0
2021-08-23,12595.0
2021-08-24,12595.0
2021-08-26,12595.0
2021-08-27,12595.0
2021-08-29,12595.0
2021-08-30,12595.0
2021-08-31,12595.0
2021-09-01,12595.0
2021-09-02,12595.0
2021-09-03,12595.0
2021-09-04,12595.0
2021-09-05,12595.0
2021-09-06,12595.0
2021-09-07,12595.0
2021-09-08,12595.0
2021-09-09,12595.0
2021-09-10,12595.0
2021-09-11,12595.0
2021-09-12,12595.0
2021-09-13,12595.0
2021-09-14,12595.0
2021-09-15,12595.0
2021-09-16,12696.0
2021-09-17,12696.0
2021-09-18,12696.0
2021-09-19,12696.0
2021-09-20,12696.0
2021-09-21,12696.0
2021-09-23,12696.0
2021-09-24,12696.0
2021-09-26,12696.0
